"","task_001","task_002","task_003","task_004","task_005","task_006","task_007","task_008","task_009","task_010","feature_001","feature_002","feature_003","feature_004","feature_005","feature_006","feature_007","feature_008","feature_009","feature_010"
"1",1,0,0,0,0,0,0,0,0,0,-0.626453810742332,-0.620366677224124,0.409401839650934,0.893673702425513,1.0744409582779,0.0773031227369236,-0.341066979637804,-0.707568232617297,-1.08690881697743,-1.54140256690726
"2",1,0,0,0,0,0,0,0,0,0,0.183643324222082,0.0421158731442352,1.68887328620405,-1.0472981490613,1.89565477419858,-0.296868642156621,1.50242453423459,1.97157201447823,-1.82608301264641,0.194321069901269
"3",1,0,0,0,0,0,0,0,0,0,-0.835628612410047,-0.910921648552446,1.58658843344197,1.97133738622415,-0.602997303605094,-1.18324224043267,0.5283077123164,-0.0899986806477491,0.995281807292567,0.264422549440984
"4",1,0,0,0,0,0,0,0,0,0,1.59528080213779,0.158028772404075,-0.330907800682766,-0.383632106288362,-0.390867820723137,0.0112926884238996,0.542191355464308,-0.0140172519319242,-0.0118617814307389,-1.11873516870975
"5",1,0,0,0,0,0,0,0,0,0,0.329507771815361,-0.654584643918818,-2.28523553529247,1.65414530227499,-0.416222031530192,0.991601036059367,-0.136673355717877,-1.12345693711015,-0.599628394751609,0.650952956147074
"6",1,0,0,0,0,0,0,0,0,0,-0.820468384118015,1.76728726937265,2.49766158983416,1.51221269395063,-0.375657422820391,1.59396745390374,-1.13673385330273,-1.34413012337621,-0.177947986602105,-1.032900238582
"7",1,0,0,0,0,0,0,0,0,0,0.487429052428485,0.716707476017206,0.667066166765493,0.082965733585914,-0.366630945702358,-1.37271127092917,-1.49662715435579,-1.52315577106209,-0.425981341802302,0.659201499417982
"8",1,0,0,0,0,0,0,0,0,0,0.738324705129217,0.910174229495227,0.5413273359637,0.5672209148515,-0.295677452700886,-0.249610933042319,-0.223385643556595,-0.421968210382174,0.996658776455071,0.237829399627714
"9",1,0,0,0,0,0,0,0,0,0,0.575781351653492,0.384185357826345,-0.0133995231459087,-1.02454847953446,1.44182041019987,1.15942452685555,2.00171922777288,1.36092446408098,0.727660708501531,0.71527594710452
"10",1,0,0,0,0,0,0,0,0,0,-0.305388387156356,1.68217608051942,0.510108422952926,0.323006503022436,-0.697538291913041,-1.1142223478436,0.221703816213622,1.75379484533487,-1.72663059586351,-0.93848303919385
"11",1,0,0,0,0,0,0,0,0,0,1.51178116845085,-0.635736453948977,-0.164375831769667,1.04361245835618,-0.38816750592136,-2.52850068885039,0.164372909246388,1.56836473435279,0.35339849564175,0.0953540096781045
"12",1,0,0,0,0,0,0,0,0,0,0.389843236411431,-0.461644730360566,0.420694643254513,0.0990784868971982,0.652536452171517,-0.935902558513312,0.33262360885001,1.29675556994775,0.726813665899557,-0.462819419956343
"13",1,0,0,0,0,0,0,0,0,0,-0.621240580541804,1.43228223854166,-0.400246743977644,-0.45413690915436,1.12477244653513,-0.967239457935565,-0.385207999091431,-0.237596251443612,0.668260975976705,-1.46888215609457
"14",1,0,0,0,0,0,0,0,0,0,-2.2146998871775,-0.650696353310367,-1.37020787754746,-0.65578185245044,-0.772110803023928,0.0474885923277959,-1.39875402655789,-1.22415013568071,-2.42431730928421,0.152686505521528
"15",1,0,0,0,0,0,0,0,0,0,1.12493091814311,-0.207380743601965,0.987838267454879,-0.0359224226225114,-0.508086216138287,-0.403736793498034,2.67574079585182,-0.327812680140072,-0.235357425015276,1.77376261131718
"16",1,0,0,0,0,0,0,0,0,0,-0.0449336090152309,-0.392807929441984,1.51974502549955,1.0691614606768,0.523620590498017,0.231496128244633,-0.423686088681983,-2.41245027627225,1.97963332091796,-0.648070933515048
"17",1,0,0,0,0,0,0,0,0,0,-0.0161902630989461,-0.319992868548507,-0.308740569225614,-0.483974930301277,1.01775422653797,-0.422372407926746,-0.298601511933064,-0.31379287344339,0.796794538639531,-0.199817475668204
"18",1,0,0,0,0,0,0,0,0,0,0.943836210685299,-0.279113302976559,-1.25328975560769,-0.121010111327444,-0.251164588087978,0.374118394695298,-1.79234172685298,1.65987870464572,-1.70927618064586,0.689243732977183
"19",1,0,0,0,0,0,0,0,0,0,0.821221195098089,0.494188331267827,0.642241305677824,-1.29414000382084,-1.42999344738861,-0.366005774997015,-0.248008225068098,0.130953100607517,-1.66366871188344,0.0361455098365949
"20",1,0,0,0,0,0,0,0,0,0,0.593901321217509,-0.177330482269606,-0.0447091368939791,0.494312836014856,1.70912103210088,1.19010144652106,-0.247303918374605,1.09588868268958,0.49110955231555,1.94353631225286
"21",1,0,0,0,0,0,0,0,0,0,0.918977371608218,-0.505957462114257,-1.73321840682484,1.30790152011415,1.43506957231162,-0.737327525257229,-0.255510378526346,0.489340956943913,-0.174055485572285,0.737213733789873
"22",1,0,0,0,0,0,0,0,0,0,0.782136300731067,1.34303882517041,0.00213185968026965,1.49704100940278,-0.71037114584988,0.290666645439266,-1.78693810009257,-0.778910295448653,0.961290563877483,2.32133393302204
"23",1,0,0,0,0,0,0,0,0,0,0.0745649833651906,-0.214579408546869,-0.630300333928146,0.814702730897356,-0.0650675736555838,-0.884849568284455,1.78466281602476,1.74355935292935,0.293826661677307,0.34890934629397
"24",1,0,0,0,0,0,0,0,0,0,-1.98935169586337,-0.179556530043387,-0.340968579860405,-1.86978879020261,-1.75946873536593,0.208006478870832,1.76358634774588,-0.0783872853310662,0.0809993635091707,-1.13391666127592
"25",1,0,0,0,0,0,0,0,0,0,0.61982574789471,-0.100190741213562,-1.15657236263585,0.48202950412376,0.569722971819101,-0.0477301724785263,0.689600221934096,-0.975553792522548,0.183661842799281,0.421335267904323
"26",1,0,0,0,0,0,0,0,0,0,-0.0561287395290008,0.712666307051405,1.80314190791747,0.456135603301202,1.61234679820178,-1.68452064613859,-1.10074064442392,0.0706598247385691,0.16625503539133,-0.924556256814186
"27",1,0,0,0,0,0,0,0,0,0,-0.155795506705329,-0.0735644041263263,-0.331132036391221,-0.353400285829911,-1.63728064710472,-0.144226556618951,0.714509356897811,-1.5185995288232,-1.26959906621425,-1.00706236611934
